  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  │Time                              │Destination │NumberOfCompleteVehicles │FoamBox │PlasticFrame │Mark1 │Mark1Bar │Mark2 │Mark3 │Level3 │Supermarket3Labels │SmallFruit │BigFruit │FlowersFruits │Mark1_J │Mark2_J │Mark3_J │SmallFruitMark1 │SmallBunchFruits │BunchFruits │FineBunchFruits │SweetBunchFruits │BunchFruitsAA │AAA │TurnoverBasket │ElectronicCommerce │Carpooling 
  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  │   │   ├───2022-03-07             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-07             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-08 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-08             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-08             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-08             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-09 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-09             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-09             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-09             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-10 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-10             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-10             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-10             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-11 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-11             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-11             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-11             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-12 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-12             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-12             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-12             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-13 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-13             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-13             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-13             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-14 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-14             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-14             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-14             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-15 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-15             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-15             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-15             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-16 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-16             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-16             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-16             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-17 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-17             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-17             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-17             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-18 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-18             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-18             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-18             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-19 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-19             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-19             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-19             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-20 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-20             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-20             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-20             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-21 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-21             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-21             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-21             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-22 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-22             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-22             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-22             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-23 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-23             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-23             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-23             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-24 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-24             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-24             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-24             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-25 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-25             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-25             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-25             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-26 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-26             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-26             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-26             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-27 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-27             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-27             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-27             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-28 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-28             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-28             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-28             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-29 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-29             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-29             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-29             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-30 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-30             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-30             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-30             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-31 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-31             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-31             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-31             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-04-01 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-04-01             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-04-01             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-04-01             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-04-02 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-04-02             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-04-02             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-04-02             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-04-03 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-04-03             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-04-03             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-04-03             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-04-04 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-04-04             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-04-04             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-04-04             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   └───2022-04-05 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-04-05             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-04-05             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-04-05             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
