  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  │Time                              │Destination │NumberOfCompleteVehicles │FoamBox │PlasticFrame │Mark1 │Mark1Bar │Mark2 │Mark3 │Level3 │Supermarket3Labels │SmallFruit │BigFruit │FlowersFruits │Mark1_J │Mark2_J │Mark3_J │SmallFruitMark1 │SmallBunchFruits │BunchFruits │FineBunchFruits │SweetBunchFruits │BunchFruitsAA │AAA │TurnoverBasket │ElectronicCommerce │Carpooling 
  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  │   │   ├───2022-02-11             │成都          │133                      │0       │133          │0     │0        │0     │0     │0      │0                  │0          │0        │0             │53      │80      │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-11             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-12 (3)             │            │570                      │507     │63           │0     │0        │0     │507   │0      │0                  │0          │0        │0             │0       │41      │0       │0               │22               │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-12             │武汉          │507                      │507     │0            │0     │0        │0     │507   │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-12             │成都          │63                       │0       │63           │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │41      │0       │0               │22               │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-12             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-13 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-13             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-13             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-13             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-14 (3)             │            │607                      │507     │100          │0     │0        │0     │507   │0      │0                  │0          │0        │0             │0       │78      │0       │0               │22               │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-14             │武汉          │507                      │507     │0            │0     │0        │0     │507   │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-14             │成都          │100                      │0       │100          │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │78      │0       │0               │22               │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-14             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-15 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-15             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-15             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-15             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-16 (3)             │            │343                      │215     │128          │0     │0        │0     │45    │0      │170                │0          │0        │0             │0       │108     │20      │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-16             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-16             │成都          │343                      │215     │128          │0     │0        │0     │45    │0      │170                │0          │0        │0             │0       │108     │20      │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-16             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-17 (3)             │            │507                      │507     │0            │0     │0        │0     │507   │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-17             │武汉          │507                      │507     │0            │0     │0        │0     │507   │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-17             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-17             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-18 (3)             │            │380                      │296     │84           │0     │0        │0     │296   │0      │0                  │0          │0        │0             │0       │84      │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-18             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-18             │成都          │380                      │296     │84           │0     │0        │0     │296   │0      │0                  │0          │0        │0             │0       │84      │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-18             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-19 (3)             │            │507                      │507     │0            │0     │0        │0     │507   │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-19             │武汉          │507                      │507     │0            │0     │0        │0     │507   │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-19             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-19             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-20 (3)             │            │387                      │247     │140          │0     │0        │0     │247   │0      │0                  │0          │0        │0             │26      │114     │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-20             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-20             │成都          │387                      │247     │140          │0     │0        │0     │247   │0      │0                  │0          │0        │0             │26      │114     │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-20             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-21 (3)             │            │896                      │777     │119          │0     │0        │0     │661   │0      │67                 │0          │0        │49            │15      │102     │0       │2               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-21             │武汉          │507                      │507     │0            │0     │0        │0     │507   │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-21             │成都          │389                      │270     │119          │0     │0        │0     │154   │0      │67                 │0          │0        │49            │15      │102     │0       │2               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-21             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-22 (3)             │            │507                      │507     │0            │0     │0        │0     │0     │507    │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-22             │武汉          │507                      │507     │0            │0     │0        │0     │0     │507    │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-22             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-22             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-23 (3)             │            │387                      │277     │110          │0     │0        │0     │40    │0      │207                │0          │0        │30            │35      │71      │0       │4               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-23             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-23             │成都          │387                      │277     │110          │0     │0        │0     │40    │0      │207                │0          │0        │30            │35      │71      │0       │4               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-23             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-24 (3)             │            │890                      │798     │92           │0     │0        │0     │552   │0      │226                │0          │0        │20            │12      │80      │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-24             │武汉          │507                      │507     │0            │0     │0        │0     │507   │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-24             │成都          │383                      │291     │92           │0     │0        │0     │45    │0      │226                │0          │0        │20            │12      │80      │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-24             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-25 (3)             │            │393                      │238     │155          │0     │0        │0     │56    │0      │145                │0          │0        │37            │59      │96      │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
